Game result;;1st (64);2nd (55);3rd (45);4th (44);5th (42);6th (41);7th (37);;1st (62);2nd (59);3rd (56);4th (49);5th (48);6th (47);7th (45);;1st (60);2nd (57);3rd (56);4th (53);5th (49);6th (49);7th (42);;1st (68);2nd (61);3rd (52);4th (51);5th (49);6th (48);7th (43);;1st (61);2nd (56);3rd (54);4th (53);5th (53);6th (49);7th (46);;1st (64);2nd (57);3rd (50);4th (48);5th (46);6th (46);7th (36);;1st (65);2nd (54);3rd (50);4th (47);5th (40);6th (39);7th (32);;1st (61);2nd (59);3rd (53);4th (52);5th (50);6th (45);7th (45);;1st (60);2nd (59);3rd (56);4th (53);5th (52);6th (51);7th (40);;1st (58);2nd (57);3rd (56);4th (55);5th (48);6th (48);7th (44);;1st (69);2nd (62);3rd (59);4th (50);5th (48);6th (45);7th (44);;1st (71);2nd (67);3rd (53);4th (49);5th (45);6th (43);7th (39);;1st (64);2nd (57);3rd (49);4th (46);5th (42);6th (42);7th (39);;1st (66);2nd (62);3rd (57);4th (55);5th (48);6th (41);7th (40);;1st (68);2nd (62);3rd (59);4th (54);5th (44);6th (41);7th (39);;1st (61);2nd (59);3rd (56);4th (51);5th (50);6th (36);7th (35);;1st (73);2nd (56);3rd (54);4th (54);5th (53);6th (51);7th (42);;1st (61);2nd (60);3rd (59);4th (56);5th (53);6th (52);7th (46);;1st (62);2nd (61);3rd (57);4th (54);5th (54);6th (51);7th (45);;1st (65);2nd (53);3rd (53);4th (52);5th (49);6th (48);7th (39);;1st (65);2nd (61);3rd (55);4th (54);5th (51);6th (48);7th (48);;1st (62);2nd (56);3rd (56);4th (50);5th (49);6th (48);7th (43);;1st (63);2nd (61);3rd (52);4th (51);5th (48);6th (47);7th (44);;1st (66);2nd (61);3rd (60);4th (58);5th (43);6th (42);7th (40);;1st (60);2nd (60);3rd (58);4th (53);5th (53);6th (44);7th (30);;1st (54);2nd (53);3rd (53);4th (52);5th (50);6th (49);7th (48);;1st (65);2nd (62);3rd (56);4th (54);5th (49);6th (48);7th (40);;1st (69);2nd (67);3rd (64);4th (52);5th (47);6th (42);7th (39);;1st (59);2nd (57);3rd (56);4th (43);5th (41);6th (38);7th (34);;1st (57);2nd (56);3rd (51);4th (51);5th (48);6th (43);7th (42);;1st (65);2nd (56);3rd (54);4th (54);5th (49);6th (47);7th (44);;1st (66);2nd (52);3rd (49);4th (49);5th (48);6th (44);7th (40);;1st (57);2nd (57);3rd (54);4th (50);5th (48);6th (44);7th (32);;1st (59);2nd (51);3rd (48);4th (45);5th (44);6th (44);7th (37);;1st (61);2nd (60);3rd (55);4th (55);5th (54);6th (53);7th (50);;1st (60);2nd (57);3rd (52);4th (51);5th (49);6th (49);7th (43);;1st (58);2nd (56);3rd (56);4th (53);5th (51);6th (50);7th (48);;1st (64);2nd (60);3rd (57);4th (54);5th (52);6th (51);7th (32);;1st (72);2nd (69);3rd (68);4th (58);5th (57);6th (54);7th (38);;1st (59);2nd (59);3rd (53);4th (53);5th (51);6th (49);7th (41);;1st (55);2nd (50);3rd (49);4th (48);5th (42);6th (38);7th (34);;1st (58);2nd (57);3rd (56);4th (51);5th (48);6th (45);7th (44);;1st (59);2nd (58);3rd (54);4th (47);5th (46);6th (39);7th (38);;1st (80);2nd (59);3rd (50);4th (48);5th (48);6th (45);7th (42);;1st (60);2nd (50);3rd (50);4th (49);5th (47);6th (47);7th (43);;1st (57);2nd (56);3rd (54);4th (52);5th (51);6th (51);7th (43);;1st (63);2nd (54);3rd (52);4th (52);5th (50);6th (49);7th (45);;1st (61);2nd (59);3rd (55);4th (53);5th (44);6th (43);7th (10);;1st (65);2nd (62);3rd (60);4th (53);5th (51);6th (44);7th (36);;1st (65);2nd (54);3rd (50);4th (47);5th (47);6th (47);7th (44);;1st (65);2nd (61);3rd (53);4th (49);5th (48);6th (37);7th (24);;1st (73);2nd (67);3rd (57);4th (56);5th (56);6th (51);7th (37);;1st (62);2nd (60);3rd (54);4th (52);5th (50);6th (45);7th (42);;1st (54);2nd (54);3rd (52);4th (50);5th (50);6th (49);7th (46);;1st (58);2nd (54);3rd (54);4th (52);5th (48);6th (47);7th (44);;1st (59);2nd (58);3rd (53);4th (52);5th (46);6th (42);7th (42);;1st (67);2nd (60);3rd (56);4th (51);5th (49);6th (41);7th (34);;1st (70);2nd (65);3rd (55);4th (52);5th (50);6th (44);7th (43);;1st (65);2nd (58);3rd (52);4th (52);5th (51);6th (48);7th (34);;1st (54);2nd (53);3rd (53);4th (52);5th (48);6th (47);7th (44);;1st (74);2nd (64);3rd (61);4th (57);5th (56);6th (48);7th (36);;1st (67);2nd (58);3rd (54);4th (52);5th (51);6th (39);7th (37)
Cards discarded;;0;1;0;1;0;1;1;;1;1;0;0;0;0;0;;0;0;1;1;2;1;0;;1;0;1;2;0;2;0;;0;0;0;1;3;0;2;;0;0;0;1;0;0;1;;0;0;0;0;0;1;3;;0;1;0;1;1;1;0;;1;4;3;0;0;1;3;;0;0;1;0;1;0;1;;1;0;0;0;0;0;1;;1;0;1;1;2;1;1;;0;1;0;0;1;0;0;;0;0;1;0;1;0;0;;1;1;0;0;0;3;4;;0;0;0;0;0;2;0;;0;1;1;0;0;0;0;;1;1;1;0;0;1;0;;1;0;1;0;0;2;2;;1;0;0;0;1;0;1;;3;0;1;3;2;1;1;;0;1;1;0;3;1;1;;2;0;1;1;0;1;0;;0;0;1;2;4;0;0;;0;1;0;1;0;0;2;;0;0;0;0;0;2;2;;0;1;1;0;0;0;0;;1;1;1;0;0;1;1;;0;2;1;1;1;0;2;;0;0;0;0;0;0;0;;1;0;0;1;1;2;0;;0;0;0;2;0;0;1;;0;1;1;1;0;1;0;;2;0;1;1;0;2;2;;1;0;0;1;1;1;0;;0;0;0;1;2;1;1;;0;0;0;2;0;0;0;;0;2;0;0;0;2;1;;0;0;0;0;0;1;0;;1;0;0;1;0;0;1;;0;2;0;0;1;1;1;;0;0;0;0;0;0;0;;1;1;0;1;0;1;3;;0;0;2;1;0;0;1;;0;0;0;0;0;0;0;;0;1;0;0;1;1;1;;1;0;0;0;1;1;1;;1;0;0;0;1;3;9;;0;1;1;0;2;0;0;;1;0;0;1;0;0;0;;0;2;0;0;1;0;1;;0;0;0;0;2;1;1;;0;0;0;0;1;1;1;;0;2;0;1;0;1;0;;1;1;0;0;0;0;1;;0;0;0;0;0;2;2;;0;0;0;1;1;4;2;;1;0;1;1;4;0;0;;0;1;1;0;3;0;4;;0;1;0;0;0;0;1;;0;0;0;0;1;0;4;;0;0;1;0;0;2;0
Chained constructions;;5;1;2;1;2;3;2;;2;6;2;0;6;2;2;;2;0;2;4;3;7;1;;7;2;2;2;0;5;1;;4;2;1;1;3;0;3;;4;2;2;1;3;1;1;;0;0;4;1;3;3;1;;0;5;2;3;1;2;2;;0;6;0;1;5;1;2;;1;4;2;0;4;2;3;;0;6;5;1;5;3;3;;6;1;3;1;3;1;3;;2;0;3;2;3;4;3;;0;2;6;3;4;1;0;;1;4;2;1;4;1;0;;2;1;2;6;2;3;4;;0;0;3;4;2;5;1;;1;5;3;0;4;1;0;;0;2;5;0;3;4;1;;1;1;3;3;4;1;2;;7;3;2;2;1;1;3;;1;2;5;2;3;3;0;;6;2;0;0;4;3;4;;4;4;3;0;6;1;0;;1;4;1;3;4;3;2;;4;2;1;3;2;1;3;;6;0;2;0;3;2;6;;4;4;3;2;0;3;2;;2;6;0;4;0;2;0;;3;2;0;3;3;3;3;;6;0;3;3;2;0;1;;1;3;4;1;1;6;3;;2;6;0;1;3;2;3;;5;0;4;2;0;0;2;;4;3;4;2;1;2;5;;3;2;5;0;0;5;0;;2;2;1;5;1;3;1;;3;2;3;0;2;3;3;;5;2;4;3;0;3;1;;1;1;4;2;2;6;4;;2;4;1;1;3;4;3;;4;2;0;2;2;3;3;;2;2;3;2;0;4;2;;5;5;0;1;4;2;2;;3;1;3;0;0;5;0;;1;3;1;5;1;5;3;;2;2;1;5;2;1;3;;1;5;2;2;3;2;0;;1;2;4;2;2;1;2;;2;1;1;2;4;4;2;;0;0;1;5;2;4;1;;5;0;3;2;5;2;1;;1;2;5;2;6;2;0;;2;2;4;2;1;3;1;;2;0;2;3;6;5;0;;1;2;3;2;4;0;8;;9;5;1;3;2;0;2;;10;6;1;1;0;3;1;;1;6;3;2;2;3;1;;3;2;3;1;3;5;3;;5;0;0;2;4;1;3;;8;2;4;0;0;2;0
Coins spent on commerce;;7;16;12;12;3;7;5;;13;10;14;4;8;16;5;;12;5;10;12;26;14;2;;6;9;12;8;8;12;8;;6;4;8;6;8;24;11;;13;11;4;9;6;1;12;;8;16;6;8;9;14;38;;8;22;7;10;7;4;8;;18;10;10;1;19;8;8;;7;8;6;6;10;15;12;;13;6;2;12;18;6;9;;12;6;15;14;8;8;7;;21;10;15;4;6;12;16;;17;15;6;9;18;3;3;;7;11;8;9;11;24;21;;8;12;12;12;6;9;7;;6;14;12;13;15;6;14;;22;7;20;8;13;5;10;;16;6;11;13;13;18;5;;4;4;7;3;11;18;5;;8;7;9;18;3;1;6;;10;7;18;5;18;15;8;;6;7;8;10;4;4;7;;12;8;14;6;11;4;10;;10;15;5;16;9;0;13;;14;8;8;5;10;18;14;;15;8;7;8;7;7;6;;12;15;20;8;14;7;12;;10;9;12;16;5;10;20;;4;6;9;8;13;4;15;;9;14;12;6;8;8;18;;9;9;6;20;5;7;14;;10;14;2;12;2;8;6;;9;4;11;13;3;26;12;;10;14;11;10;8;4;18;;7;13;7;12;26;11;14;;9;10;8;12;14;10;9;;16;20;10;10;14;12;6;;4;22;10;16;8;15;11;;16;8;8;12;9;7;2;;10;12;11;6;8;6;8;;13;1;14;16;2;14;7;;12;0;9;14;4;17;6;;18;3;19;4;12;10;7;;17;7;12;14;10;8;15;;32;6;12;8;6;9;23;;6;14;6;10;8;4;8;;3;11;20;7;8;14;2;;14;5;10;12;22;7;4;;6;12;6;12;8;22;9;;10;16;4;3;18;4;10;;16;10;0;6;20;7;4;;12;10;6;5;12;8;13;;7;16;14;19;18;5;8;;12;0;10;14;12;15;16;;26;8;2;10;10;14;7;;5;18;17;7;11;20;16;;6;9;11;16;24;8;4;;12;14;6;9;14;4;14;;12;8;10;6;8;6;10;;16;14;12;8;21;10;8;;5;13;6;0;30;24;9
Coins gained through commerce;;11;7;3;9;18;4;10;;8;5;15;4;12;18;8;;15;20;14;12;8;2;10;;9;12;5;8;19;3;7;;9;8;7;19;0;12;12;;7;7;4;9;16;8;5;;28;8;22;8;6;17;10;;24;6;2;6;10;11;7;;7;10;10;22;6;7;12;;21;4;12;6;6;6;9;;8;14;18;9;5;6;6;;2;14;10;9;12;13;10;;17;23;10;14;8;10;2;;13;4;7;4;10;19;14;;16;10;14;28;14;9;0;;10;13;10;8;11;5;9;;15;12;13;10;8;12;10;;17;11;16;13;5;17;6;;6;16;2;30;11;11;6;;27;5;4;7;2;5;2;;8;11;4;3;14;8;4;;22;9;11;12;14;9;4;;0;10;6;6;8;11;5;;6;11;16;13;1;4;14;;12;6;18;9;6;13;4;;4;13;13;13;18;12;4;;2;6;11;11;9;7;12;;9;10;17;16;12;6;18;;25;6;13;0;12;8;18;;7;9;8;4;14;8;9;;2;12;14;7;20;15;5;;8;10;11;11;5;11;14;;2;2;14;2;10;14;10;;6;31;12;6;8;9;6;;7;10;9;7;18;16;8;;19;11;18;4;11;14;13;;16;17;15;6;2;10;6;;14;20;2;21;8;9;14;;18;12;9;10;13;12;12;;11;2;10;4;8;18;9;;14;12;8;13;6;6;2;;12;10;6;13;8;4;14;;16;16;2;3;9;14;2;;10;7;6;10;12;21;7;;6;21;15;9;10;16;6;;19;22;13;10;14;6;12;;10;4;14;0;14;10;4;;7;10;6;12;7;12;11;;10;20;9;8;11;4;12;;12;4;17;20;8;6;8;;15;11;8;11;10;2;8;;13;17;3;10;4;14;2;;7;8;11;15;10;8;7;;7;2;22;4;15;18;19;;14;10;12;11;20;2;10;;11;11;22;7;12;12;2;;7;19;9;22;18;15;4;;9;5;12;14;2;12;24;;16;8;11;6;18;12;2;;11;8;2;18;10;5;6;;9;15;8;13;16;16;12;;10;26;2;26;7;10;6
Shields;;6;10;5;7;2;5;9;;4;0;8;7;0;5;10;;7;5;1;10;3;7;6;;0;9;7;3;1;10;8;;8;0;5;9;1;5;5;;1;1;8;3;7;10;14;;8;6;4;6;3;9;6;;7;6;8;0;8;0;10;;6;7;3;0;0;10;6;;9;6;6;5;1;0;10;;3;4;3;2;0;11;14;;0;6;0;6;10;7;9;;5;7;1;7;7;5;7;;6;5;2;4;2;14;3;;5;0;6;6;3;5;7;;6;6;10;0;6;2;12;;6;8;6;0;10;5;1;;7;8;0;7;3;8;5;;7;6;0;7;7;2;8;;5;6;7;4;4;2;7;;0;2;1;5;4;7;0;;8;4;1;11;4;1;3;;0;9;5;9;8;1;8;;3;2;0;5;0;15;12;;0;2;4;8;1;11;10;;2;6;8;5;11;10;0;;4;7;7;2;1;0;3;;3;0;9;10;6;6;5;;7;0;9;10;0;8;9;;9;1;6;5;11;0;5;;1;5;0;9;8;8;6;;6;6;1;9;9;4;5;;7;5;1;6;10;13;9;;3;8;11;6;4;9;7;;0;3;9;6;3;7;0;;5;7;8;12;1;5;3;;5;0;10;2;5;6;4;;2;7;5;6;8;12;3;;0;7;1;3;7;7;13;;9;6;0;7;3;10;5;;6;2;7;6;6;9;8;;7;3;7;3;8;0;10;;6;6;11;3;9;3;1;;6;5;10;1;2;13;1;;6;5;3;6;9;8;7;;6;2;3;11;6;6;0;;5;6;4;0;5;13;2;;4;3;8;2;7;3;0;;6;4;0;4;1;10;12;;6;6;10;9;7;0;5;;5;6;9;0;1;6;8;;4;6;6;3;4;5;3;;8;0;3;3;7;8;6;;6;0;8;3;4;9;8;;8;5;4;6;4;6;8;;8;5;11;6;5;1;3;;7;5;5;0;10;8;9;;5;1;4;9;3;3;8;;7;9;0;11;3;3;10;;10;2;8;4;8;0;8;;3;4;8;7;0;10;2;;0;9;7;7;7;6;5
Wonder side A;;yes;no;yes;yes;no;no;yes;;yes;no;no;yes;yes;yes;yes;;no;no;no;no;no;no;no;;no;no;yes;no;no;no;no;;no;yes;no;no;no;no;no;;no;no;no;no;no;no;yes;;no;no;yes;no;yes;no;yes;;yes;no;yes;no;no;no;no;;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;no;yes;yes;yes;no;yes;;no;no;no;no;no;no;no;;no;no;yes;no;yes;no;no;;no;no;no;yes;no;yes;no;;no;no;no;no;no;no;no;;no;no;no;no;no;no;yes;;no;yes;no;no;no;no;no;;yes;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;no;no;no;yes;no;no;;no;no;no;yes;no;no;no;;yes;yes;no;no;yes;no;yes;;no;no;no;no;no;yes;yes;;no;no;no;no;no;no;no;;no;yes;no;no;no;no;no;;no;no;no;no;yes;no;no;;no;no;no;no;yes;no;yes;;no;no;no;no;no;no;yes;;no;no;no;yes;no;yes;yes;;no;no;yes;no;no;no;no;;no;yes;no;no;no;no;yes;;yes;no;yes;yes;yes;yes;yes;;yes;no;no;no;yes;no;no;;no;no;no;no;no;no;yes;;no;no;no;no;no;no;yes;;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;yes;yes;yes;yes;no;yes;;no;no;no;no;no;no;yes;;no;no;no;yes;no;no;no;;no;yes;no;no;no;yes;no;;no;no;no;yes;no;yes;no;;no;no;no;no;yes;no;no;;no;no;no;yes;no;no;no;;no;yes;no;no;no;yes;no;;no;no;yes;no;yes;yes;no;;no;yes;no;no;no;yes;no;;no;no;no;no;no;no;no;;yes;no;no;no;no;no;yes;;no;no;no;no;no;yes;no;;yes;no;yes;no;no;yes;no;;no;no;no;no;yes;no;yes;;no;no;no;yes;no;yes;no;;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;;no;no;no;no;yes;no;no;;no;no;yes;no;no;no;no;;no;no;yes;no;no;no;yes;;no;no;no;no;no;no;yes;;no;yes;no;no;no;no;no
Wonder ID;;5;11;2;7;10;13;1;;2;13;11;5;1;7;3;;11;10;9;14;12;13;8;;14;11;2;13;8;10;12;;10;5;11;13;14;8;9;;14;8;10;9;12;13;4;;14;10;4;13;2;8;5;;4;12;1;14;10;9;13;;11;14;10;8;12;13;9;;10;12;8;11;9;13;14;;8;14;6;2;5;10;4;;14;10;8;11;13;9;12;;12;8;2;10;4;13;14;;10;12;14;6;9;4;8;;11;9;13;8;14;12;10;;8;10;11;12;14;9;6;;13;7;12;8;11;9;10;;4;14;9;13;12;10;8;;12;11;14;8;13;9;10;;8;13;9;10;7;12;11;;14;8;9;4;12;13;10;;5;1;9;13;7;11;3;;14;12;13;11;9;3;1;;12;8;14;10;9;13;11;;12;3;8;11;14;13;9;;12;13;10;11;1;9;14;;14;11;10;8;2;13;5;;14;9;13;12;10;8;4;;9;14;12;6;8;3;4;;10;12;2;11;8;13;14;;14;3;13;12;9;11;1;;3;8;6;5;4;7;2;;1;9;13;11;7;12;10;;14;13;9;8;10;12;4;;14;9;11;10;8;13;5;;14;12;11;13;9;10;8;;9;8;11;14;13;10;12;;14;9;13;10;12;11;8;;9;14;10;8;13;11;12;;11;1;6;5;2;14;3;;10;14;12;8;9;13;4;;14;13;11;5;10;9;8;;14;3;11;12;13;1;9;;14;12;11;3;9;1;13;;14;8;10;9;4;12;13;;12;9;8;4;13;14;10;;13;7;8;12;11;3;9;;8;14;3;12;4;6;9;;11;3;9;12;14;1;13;;11;12;8;10;14;9;13;;3;11;13;14;8;9;5;;14;12;13;10;9;4;8;;3;8;7;9;13;4;12;;10;14;12;9;6;11;1;;14;13;8;5;9;3;11;;12;13;11;8;10;9;14;;14;13;12;10;11;9;8;;12;14;10;11;2;13;8;;12;14;1;11;9;13;10;;13;14;3;9;8;12;4;;14;12;13;8;9;11;3;;12;4;14;13;8;9;10
Civilian Structures;;4;3;1;2;2;3;5;;3;1;5;3;5;3;3;;4;4;2;2;4;2;3;;1;4;2;5;2;0;3;;3;7;7;3;2;0;0;;1;7;3;0;3;3;3;;3;4;6;3;0;2;1;;2;0;3;1;3;3;4;;2;2;2;3;3;3;3;;2;2;3;0;0;5;6;;1;2;6;2;4;4;1;;1;2;4;6;4;1;2;;7;1;3;4;2;2;1;;2;5;0;7;5;4;1;;4;2;6;3;2;3;2;;1;4;7;3;5;2;1;;5;3;1;3;5;2;4;;5;1;2;4;5;1;2;;0;6;2;2;3;8;2;;5;6;2;1;1;5;3;;4;3;2;5;4;2;4;;4;1;4;3;7;1;3;;0;2;5;2;3;5;6;;2;5;1;2;9;3;1;;2;9;2;4;3;1;0;;1;3;2;3;6;4;2;;5;4;1;2;4;3;2;;1;1;4;4;4;4;2;;3;4;3;3;0;3;4;;3;3;2;6;5;1;1;;2;4;2;4;1;1;4;;2;3;1;5;3;1;5;;2;0;3;5;5;3;4;;1;5;3;1;4;3;4;;1;0;5;4;3;3;2;;2;3;4;3;2;5;2;;1;4;3;0;4;1;4;;2;3;3;1;2;2;4;;1;6;0;5;3;5;3;;4;5;2;2;4;2;2;;3;4;1;4;3;2;5;;1;5;4;5;1;3;4;;3;0;4;3;4;0;4;;0;5;5;3;4;2;3;;1;4;2;1;2;3;3;;6;1;3;1;2;3;8;;1;3;4;6;5;2;0;;2;1;4;4;2;6;0;;6;1;1;3;1;2;2;;5;3;3;2;3;5;1;;4;3;2;3;6;0;0;;1;2;8;5;0;3;1;;4;4;4;4;1;2;3;;4;1;1;5;4;5;4;;1;4;6;1;3;5;0;;5;6;3;4;0;2;3;;0;3;2;6;5;2;4;;2;1;5;3;1;8;3;;4;0;8;2;1;4;3;;2;0;4;0;7;4;4;;0;4;3;6;2;4;6;;1;6;1;4;3;3;4
Scientific Structures;;4;0;5;0;1;5;0;;1;10;0;0;6;0;0;;0;0;6;5;5;7;0;;11;0;0;0;1;4;0;;0;0;1;0;7;0;6;;9;0;0;5;4;0;0;;0;0;2;2;6;2;3;;0;7;0;7;0;4;1;;0;7;0;0;6;0;0;;0;3;0;0;6;3;2;;0;7;3;3;5;0;0;;10;0;0;0;0;0;4;;0;0;5;0;0;4;6;;0;0;10;0;3;0;0;;0;8;1;0;6;0;0;;0;0;0;7;0;5;3;;0;0;6;7;0;4;0;;0;8;7;0;4;0;0;;0;0;8;0;4;0;0;;0;0;3;0;6;0;3;;9;0;5;0;0;0;2;;0;0;6;1;0;7;0;;11;0;0;0;0;0;0;;5;0;8;0;0;0;0;;3;0;0;0;6;0;4;;7;1;3;0;0;0;8;;5;0;0;0;3;5;6;;10;7;0;0;0;0;1;;2;9;0;3;2;0;0;;0;4;2;0;0;6;8;;10;0;5;0;4;0;0;;0;0;8;0;0;7;3;;0;8;0;0;0;0;0;;9;0;2;0;0;0;0;;9;3;0;0;0;1;7;;5;0;4;0;3;4;0;;1;0;0;10;3;3;3;;8;2;6;0;0;0;2;;9;0;8;0;2;0;0;;0;0;8;3;0;7;0;;0;6;4;0;0;4;0;;9;0;0;1;0;5;0;;2;3;0;2;0;7;3;;9;0;0;0;2;2;5;;6;0;5;3;0;6;0;;0;0;0;3;3;6;0;;4;0;0;4;0;0;5;;0;4;2;0;0;0;1;;1;0;8;1;7;0;1;;0;3;0;3;5;4;4;;0;0;2;6;0;3;0;;10;0;0;0;8;0;1;;0;0;4;5;7;2;0;;0;8;6;1;0;2;0;;4;0;0;5;5;2;2;;0;0;0;1;5;4;7;;8;5;6;0;0;0;0;;9;10;0;1;0;2;2;;0;7;0;0;5;1;0;;3;7;0;2;0;6;0;;11;0;0;0;4;0;0;;10;0;5;0;0;4;0
Guilds;;0;2;1;1;1;0;1;;2;0;0;1;1;2;1;;1;1;1;2;0;0;0;;0;3;1;1;0;1;2;;2;1;0;1;0;3;0;;1;1;3;1;1;2;0;;2;1;1;1;0;0;0;;2;2;1;1;1;0;1;;3;0;2;1;1;0;1;;1;1;1;3;1;2;0;;3;0;1;3;0;2;0;;1;1;2;1;0;2;0;;0;0;1;1;1;2;0;;3;0;0;0;2;0;1;;3;1;0;1;1;1;0;;1;1;0;2;1;1;0;;1;1;1;1;0;1;2;;1;1;1;3;0;1;0;;4;1;1;1;1;1;0;;1;2;2;0;0;1;0;;0;1;1;1;0;2;1;;1;1;0;1;1;1;1;;1;2;1;1;1;1;0;;3;0;2;1;0;0;1;;2;1;2;0;0;1;1;;1;1;1;2;0;1;1;;0;2;1;3;1;1;0;;0;2;2;0;1;0;1;;0;0;1;0;1;0;0;;0;1;0;2;2;1;1;;0;2;1;1;0;2;0;;2;1;0;1;1;1;0;;2;0;2;1;0;0;2;;0;2;1;0;0;0;1;;1;2;0;2;2;0;1;;2;2;0;1;2;0;1;;3;1;2;0;1;0;0;;1;2;0;2;1;1;0;;0;2;1;1;2;2;0;;1;1;1;1;2;0;2;;0;1;2;0;2;0;0;;0;0;3;2;0;0;1;;4;1;1;1;1;0;0;;2;1;0;1;1;2;1;;1;2;1;1;1;0;0;;0;3;1;1;1;1;1;;2;0;2;0;0;1;1;;0;4;0;1;2;1;0;;1;3;0;2;2;0;1;;2;0;1;1;0;0;3;;2;2;1;1;1;0;1;;0;3;0;1;0;1;1;;2;2;0;0;1;1;1;;1;2;0;0;4;0;0;;2;1;0;2;0;1;2;;1;1;0;1;1;1;1;;1;0;0;1;1;2;0;;1;0;2;1;3;0;1;;1;2;1;1;2;1;0;;1;2;2;2;0;1;1;;0;1;2;0;2;0;1;;0;1;1;0;1;0;2
Military Structures;;3;3;2;4;1;3;4;;2;0;3;3;0;2;5;;3;2;1;4;1;3;3;;0;4;4;2;1;4;3;;4;0;1;4;1;3;2;;1;1;4;1;3;5;6;;4;4;1;3;1;3;3;;2;3;4;0;4;0;4;;3;3;2;0;0;5;2;;5;3;2;2;1;0;4;;2;2;1;1;0;5;6;;0;3;0;3;5;3;4;;2;4;1;4;2;3;3;;4;3;1;2;1;5;1;;2;0;3;3;1;3;3;;3;3;4;0;3;1;5;;3;4;3;0;3;2;1;;3;3;0;3;2;4;2;;4;2;0;3;3;2;4;;3;3;3;2;2;1;3;;0;1;1;3;2;3;0;;3;2;1;5;2;0;2;;0;4;2;4;4;1;3;;1;1;0;3;0;7;5;;0;1;3;3;1;5;4;;1;3;4;2;4;5;0;;2;3;3;1;1;0;1;;2;0;5;4;3;3;2;;3;0;5;4;0;4;3;;5;1;3;2;4;0;2;;1;3;0;4;4;4;2;;3;3;1;4;3;2;2;;3;2;1;3;4;6;4;;2;3;5;3;2;4;2;;0;2;3;4;1;3;0;;2;3;3;6;1;3;1;;2;0;4;2;2;3;2;;1;3;2;3;4;4;1;;0;4;1;2;4;2;5;;4;3;0;3;2;4;2;;3;1;3;2;3;4;3;;3;2;3;2;4;0;4;;3;3;4;1;4;1;1;;3;2;4;1;1;5;1;;3;2;1;3;3;4;4;;2;1;2;5;3;2;0;;3;3;2;0;2;6;1;;2;2;4;2;2;2;0;;3;3;0;2;1;4;5;;2;3;5;4;3;0;2;;3;3;4;0;1;3;3;;2;3;3;2;2;1;1;;4;0;2;1;3;3;2;;3;0;3;2;2;4;3;;4;2;2;2;2;2;3;;4;2;4;3;2;1;2;;3;3;2;0;4;4;4;;2;1;3;3;2;1;3;;3;4;0;4;1;2;4;;4;1;4;2;3;0;3;;2;3;4;4;0;3;1;;0;3;3;4;3;2;2
Commercial Structures;;1;4;1;4;6;1;1;;4;0;3;2;3;3;3;;5;3;1;0;3;4;4;;1;3;5;3;3;2;3;;5;4;2;1;1;4;3;;4;5;1;3;0;3;4;;3;2;4;2;4;2;3;;3;1;5;5;3;4;2;;2;0;4;2;3;3;5;;2;4;3;3;4;3;2;;3;4;0;2;4;2;5;;3;3;4;3;2;5;2;;4;2;2;5;6;3;4;;4;4;2;5;3;3;4;;3;1;3;3;5;3;4;;5;4;2;3;2;2;3;;3;2;0;3;5;4;4;;2;1;2;0;2;4;5;;2;2;5;4;3;3;2;;2;1;4;8;3;3;4;;1;6;4;2;3;3;5;;2;7;3;3;1;4;3;;0;3;2;3;6;4;5;;1;7;1;2;5;2;2;;2;3;4;4;4;5;2;;3;4;3;5;2;3;2;;5;2;6;2;2;3;3;;1;3;2;1;3;3;6;;3;3;0;3;4;5;3;;5;1;3;3;3;2;4;;2;2;5;4;4;3;5;;3;7;3;1;5;2;0;;6;3;2;2;5;2;2;;2;1;2;7;4;2;3;;2;5;6;3;3;3;1;;2;4;4;2;4;3;4;;5;4;1;2;2;5;3;;1;3;3;4;6;5;2;;1;3;1;5;0;4;6;;4;2;2;1;5;2;5;;6;0;2;2;6;2;4;;2;4;4;0;6;5;4;;1;3;5;4;2;4;2;;2;4;3;4;5;0;1;;3;3;2;5;3;1;5;;3;8;4;3;2;1;4;;3;5;2;2;5;3;4;;5;5;4;4;3;1;3;;2;3;2;4;2;7;3;;1;1;2;1;3;6;3;;2;4;3;4;2;4;5;;3;1;1;4;2;3;6;;3;5;3;4;2;2;3;;4;2;0;7;1;2;2;;1;3;3;2;5;5;4;;1;4;4;3;4;4;2;;4;2;2;4;2;3;1;;0;4;3;3;2;2;1;;3;1;2;5;2;5;3;;2;2;5;3;4;2;4;;3;2;2;2;6;5;1;;3;1;2;2;4;2;4
