Place;Thinking time;VP from Military Conflicts (Victory);VP from Military Conflicts (Defeat);VP from Treasury Contents;VP from Wonder; VP from Civilian Structures;VP from Scientific Structures;VP from Commercial Structures;VP from Guilds;Constructed stages of the Wonder;Cards discarded;Chained constructions;Coins spent on commerce;Coins gained through commerce;Shields;Wonder side A;Wonder ID;Civilian Structures;Scientific Structures;Guilds;Military Structures;Commercial Structures;Raw Materials;Manufactured Goods
1st (65);03:08;14;0;6;20;13;0;4;8;4;0;1;14;19;9;no;8;3;0;1;4;2;4;0
2nd (54);03:14;12;-1;1;5;15;0;3;19;3;0;1;3;0;5;no;10;4;0;2;3;3;3;0
3rd (54);04:42;0;-6;0;7;25;21;0;7;3;0;2;11;4;0;no;13;4;6;1;0;2;1;1
4th (41);02:50;5;-2;7;3;0;13;10;5;3;1;1;8;13;6;no;9;0;3;1;3;4;2;3
1st (67);03:52;0;-6;2;3;0;64;4;0;2;2;5;16;2;0;no;14;0;10;1;0;2;1;2
2nd (55);02:43;8;-1;7;7;20;0;7;7;3;0;2;4;10;6;no;13;4;0;1;4;4;2;0
3rd (54);02:54;9;-2;2;20;5;0;4;16;4;0;2;4;8;6;no;8;1;0;2;3;4;4;0
4th (51);02:31;14;-2;5;7;19;0;4;4;2;0;2;8;12;11;no;11;4;0;1;4;2;4;1
1st (63);03:45;9;-2;2;3;9;38;4;0;2;1;4;8;8;4;no;14;2;8;0;2;1;4;0
2nd (56);04:32;14;0;2;5;8;0;3;24;3;0;1;13;10;11;no;10;2;0;2;5;2;3;1
3rd (55);03:07;8;-1;5;10;19;0;4;10;3;0;1;16;9;5;no;12;3;0;2;3;4;3;0
4th (47);02:45;0;-6;12;3;8;13;9;8;3;0;0;2;12;3;no;9;1;3;1;1;5;3;3
1st (71);03:26;12;-1;5;3;15;26;3;8;3;0;1;20;25;3;no;9;2;5;1;2;3;3;1
2nd (55);03:21;18;0;3;7;8;0;0;19;2;1;1;6;7;9;no;11;2;0;3;4;2;4;0
3rd (48);03:51;0;-5;4;10;3;36;0;0;3;0;2;18;10;1;no;12;1;8;0;1;1;3;1
4th (48);03:23;5;-5;3;5;29;0;4;7;3;0;1;14;16;5;no;10;6;0;0;2;2;3;2
1st (58);03:20;1;-4;3;3;16;36;3;0;3;0;3;6;12;4;no;9;3;4;1;2;1;3;3
2nd (55);03:27;18;0;4;7;18;0;0;8;3;1;0;10;8;10;no;13;3;0;1;5;2;3;0
3rd (46);05:31;6;-3;1;5;12;0;8;17;2;0;2;12;3;4;no;10;3;0;3;2;5;3;0
4th (38);03:11;6;-4;8;10;6;0;5;7;3;0;0;5;10;7;no;12;1;0;1;3;4;5;1
1st (56);04:30;8;0;7;20;16;0;5;0;4;0;0;10;16;6;no;8;3;0;0;3;2;5;1
2nd (50);02:37;8;-2;3;3;20;13;5;0;1;0;4;13;12;6;no;11;4;4;0;2;5;2;0
3rd (48);03:04;1;-4;7;3;0;21;5;15;3;0;3;12;11;4;no;9;0;5;2;2;4;2;2
4th (37);03:34;1;0;3;5;23;0;0;5;2;2;2;16;12;6;no;12;6;0;1;3;0;4;0
1st (60);05:05;0;-6;1;5;15;31;0;14;3;0;4;18;14;0;no;10;3;7;1;0;1;2;1
2nd (55);03:16;9;-2;6;3;10;16;8;5;3;2;3;16;5;3;no;9;2;3;1;2;5;1;1
3rd (54);03:31;9;-2;10;7;0;0;10;20;2;2;0;10;19;3;no;11;0;0;3;1;2;6;2
4th (47);03:53;16;0;3;20;8;0;0;0;4;1;1;6;12;11;no;8;2;0;0;5;1;4;1
1st (63);04:05;16;0;5;3;8;25;6;0;3;0;4;10;12;8;no;9;1;4;0;4;2;2;3
2nd (53);02:36;15;0;3;7;7;1;3;17;2;0;2;13;4;9;no;11;2;0;3;3;4;3;1
3rd (47);04:23;0;-5;1;7;29;9;0;6;3;0;1;4;8;1;no;13;6;3;1;1;0;4;0
4th (44);03:48;0;-4;7;5;12;0;5;19;3;0;3;12;15;6;no;10;3;0;2;3;5;2;0
1st (59);03:14;8;-4;2;3;4;36;4;6;2;1;6;8;8;5;no;14;1;8;1;2;1;4;0
2nd (58);04:26;13;0;1;7;25;0;0;12;3;1;0;8;10;8;no;13;4;0;2;4;0;3;1
3rd (51);03:41;8;-3;7;20;3;0;10;6;4;0;3;8;8;8;no;8;1;0;1;3;6;3;0
4th (43);02:46;2;-4;7;10;12;2;0;14;3;0;0;8;6;4;no;12;2;2;2;2;2;3;2
1st (72);02:04;13;-1;7;7;26;0;4;16;3;0;1;4;20;4;no;13;5;0;2;3;1;4;0
2nd (64);02:52;13;-1;3;3;20;0;4;22;1;1;1;15;7;6;no;11;4;0;2;3;3;4;0
3rd (52);03:11;0;-6;2;3;11;38;4;0;3;0;5;7;2;0;no;14;3;8;0;0;3;2;2
4th (49);02:52;10;-4;4;3;0;18;3;15;3;0;2;20;17;7;no;9;0;4;2;3;3;2;3
1st (56);03:53;14;-2;7;13;6;0;8;10;3;1;1;12;18;9;no;8;1;0;1;4;3;5;0
2nd (55);03:04;8;-4;1;5;28;0;3;14;2;0;1;20;14;5;no;12;7;0;2;2;1;3;1
3rd (51);04:07;13;-1;4;7;18;0;3;7;3;1;2;8;7;7;no;13;3;0;1;4;3;2;1
4th (50);05:08;1;-5;2;3;5;38;0;6;3;0;4;9;10;1;no;9;1;7;1;1;4;2;1
1st (62);04:03;0;-6;3;2;20;36;0;7;1;2;6;10;12;0;no;14;4;8;1;0;0;2;1
2nd (59);04:26;10;-1;3;20;15;0;4;8;4;1;2;8;11;4;no;8;3;0;1;3;2;4;0
3rd (49);03:16;13;-2;7;7;11;0;6;7;2;1;2;7;8;10;no;11;3;0;1;3;4;3;1
4th (45);03:49;10;-2;1;3;4;26;3;0;3;1;3;12;6;9;no;9;1;5;0;4;2;3;1
1st (46);03:16;10;0;5;5;9;0;4;13;2;1;1;11;11;7;no;12;2;0;2;4;3;4;0
2nd (45);02:55;8;-2;2;3;18;0;1;15;1;1;4;10;9;7;no;8;5;0;2;3;4;2;0
3rd (43);03:15;0;-4;7;7;10;16;0;7;2;1;2;6;20;6;no;11;2;4;1;2;0;5;1
4th (43);04:32;4;-2;5;10;18;0;8;0;3;0;0;18;5;6;yes;7;3;0;0;3;5;3;2
1st (60);04:05;10;-1;3;5;17;0;3;23;3;0;1;14;7;4;no;10;3;0;2;3;3;3;1
2nd (56);04:11;0;-5;3;3;9;43;3;0;3;1;6;10;9;1;no;14;2;9;0;1;2;3;0
3rd (51);05:06;16;0;0;13;12;0;0;10;3;0;2;18;6;11;no;8;3;0;2;5;3;2;0
4th (43);02:29;5;-3;10;7;13;0;6;5;2;0;0;3;23;10;no;11;2;0;1;3;3;4;3
1st (61);02:17;9;-1;2;7;22;0;0;22;2;1;1;14;12;4;no;11;4;0;3;2;0;5;1
2nd (57);02:25;0;-5;1;3;0;55;3;0;3;2;3;26;6;0;no;9;0;8;1;0;3;0;3
3rd (52);03:17;11;0;10;7;8;0;6;10;3;0;0;4;14;10;no;13;2;0;1;5;4;3;0
4th (51);02:54;8;-2;6;2;22;10;5;0;1;0;3;6;18;7;no;14;4;3;0;3;3;5;0
1st (62);03:21;9;-3;3;3;0;50;0;0;3;0;4;16;14;4;no;9;0;9;0;2;1;2;3
2nd (56);03:15;0;-6;11;3;25;4;12;7;2;0;1;8;22;0;no;14;5;2;1;0;4;4;2
3rd (54);03:23;18;0;3;10;5;9;3;6;3;1;3;18;6;9;no;12;1;3;1;5;3;1;0
4th (50);02:44;9;-3;6;7;15;0;3;13;2;1;3;12;12;5;no;11;3;0;2;2;5;3;0
1st (57);03:07;13;-3;6;15;14;0;5;7;3;0;3;11;18;8;yes;1;3;0;1;3;5;2;1
2nd (57);04:06;1;-2;5;10;14;25;4;0;3;0;3;10;11;4;no;12;2;4;1;2;1;4;1
3rd (46);04:43;8;-1;4;3;9;10;4;9;2;2;2;12;6;4;no;14;2;3;1;3;2;4;1
4th (39);03:20;0;-2;3;7;24;1;3;3;3;1;1;6;4;4;no;13;6;1;1;2;2;2;0
1st (56);04:13;10;-1;3;20;12;0;4;8;4;1;2;11;6;4;no;8;3;0;1;3;3;3;0
2nd (52);04:18;13;-2;2;3;12;18;0;6;2;0;4;2;8;7;no;14;2;5;1;3;2;3;2
2rd (52);03:29;9;-2;2;10;16;0;3;14;3;0;2;8;0;6;yes;3;4;0;2;3;3;3;0
4th (43);04:19;0;-5;5;3;20;10;3;7;3;2;1;4;11;1;no;9;4;2;1;1;2;3;2
1st (63);02:42;12;-1;9;7;14;0;4;18;2;0;0;6;22;6;no;11;2;0;3;3;1;4;3
2nd (63);02:50;0;-5;3;3;0;62;0;0;3;1;7;5;12;0;no;14;0;11;0;0;3;3;0
3rd (55);04:07;13;-2;0;10;19;0;4;11;3;0;0;26;6;8;no;12;4;0;1;3;2;3;2
4th (49);04:19;9;-2;5;20;8;0;9;0;4;0;2;8;5;5;no;8;2;0;0;3;5;4;0
1st (58);03:14;3;-3;3;3;8;38;6;0;3;0;3;10;8;3;no;9;1;6;1;2;2;2;3
2nd (56);02:05;15;0;5;7;3;0;4;22;2;0;2;13;18;11;no;11;1;0;3;4;3;4;1
3rd (51);03:01;5;-4;8;7;31;1;3;0;3;0;1;12;8;4;no;13;6;1;0;2;4;2;0
4th (50);02:41;8;-2;3;15;8;0;4;14;3;1;1;14;15;8;yes;1;2;0;2;4;1;4;1
1st (56);03:22;8;0;5;3;5;25;3;7;3;2;2;16;8;6;no;9;1;4;1;3;3;1;2
2nd (50);03:01;1;-4;2;7;24;16;0;4;3;0;3;6;12;1;no;13;5;4;1;1;1;3;0
3rd (43);04:31;4;-1;7;3;18;1;4;7;3;1;2;8;16;6;no;14;4;1;1;3;3;4;1
4th (42);03:37;13;-3;4;13;11;0;4;0;3;2;0;12;6;8;no;8;3;0;0;3;4;3;0
1st (56);02:55;14;0;11;7;5;0;5;14;2;1;3;3;20;11;no;11;1;0;2;4;5;3;0
2nd (51);04:05;8;-2;7;10;8;0;7;13;3;0;0;14;9;8;no;12;1;0;2;4;2;4;2
3rd (49);02:46;5;-3;0;7;26;9;0;5;3;0;2;12;1;2;no;13;5;3;1;2;2;2;0
4th (48);03:11;5;-5;1;2;15;28;2;0;1;0;4;7;6;3;no;14;4;7;0;1;2;2;2
1st (59);03:26;18;0;4;7;19;0;6;5;2;1;1;13;4;7;no;11;4;0;1;3;4;3;0
2nd (58);03:11;18;0;5;10;10;0;0;15;3;1;0;16;16;8;no;12;2;0;2;4;2;3;1
3rd (47);03:55;0;-6;4;20;19;0;4;6;4;1;2;18;15;2;no;8;4;0;1;1;3;4;0
4th (45);03:55;0;-6;10;3;4;18;9;7;3;3;2;2;14;0;no;9;1;4;1;0;2;3;3
1st (66);03:24;13;-3;8;10;31;0;0;7;3;1;2;10;18;5;no;12;6;0;1;2;1;3;1
2nd (66);03:17;1;-4;0;3;4;62;0;0;1;1;7;12;2;1;no;9;1;11;0;1;1;1;1
3rd (51);03:38;16;-1;2;7;18;0;3;6;3;1;2;4;4;11;no;13;4;0;1;5;1;3;0
4th (47);04:04;5;-3;8;10;5;0;10;12;3;0;0;10;12;4;yes;3;1;0;2;3;5;3;1
1st (63);03:47;12;-1;2;7;16;0;3;24;3;0;1;8;8;5;no;13;4;0;3;3;1;4;0
2nd (60);03:17;13;-1;5;7;17;1;9;9;2;0;2;14;16;6;no;11;3;1;1;3;4;3;1
3rd (53);03:12;10;-3;6;3;17;16;4;0;2;0;4;6;20;7;no;9;4;4;0;3;1;4;2
4th (44);02:08;0;-6;3;10;11;26;0;0;3;0;3;18;2;0;no;12;2;6;1;0;5;0;1
1st (58);02:52;16;0;7;7;4;0;8;16;2;1;1;10;15;8;no;11;1;0;2;3;3;4;2
2nd (56);03:12;4;-3;1;7;31;10;0;6;3;0;2;6;8;3;no;13;6;3;1;2;1;2;0
3rd (50);03:22;5;-4;2;3;13;31;0;0;3;0;4;4;10;6;no;14;3;7;0;2;1;4;1
4th (40);02:14;4;-2;2;13;3;0;9;11;3;0;0;19;6;6;no;8;1;0;2;3;5;4;0
1st (54);03:32;0;-4;3;3;26;26;0;0;2;0;2;6;16;1;no;14;5;5;1;1;0;4;2
2nd (52);03:03;8;-1;1;5;21;1;0;17;3;0;1;12;10;3;no;10;4;1;2;2;2;3;1
3rd (50);02:06;8;-1;2;20;5;0;4;12;4;0;0;10;6;6;no;8;2;0;2;3;3;4;0
4th (39);02:59;10;0;3;7;4;1;7;7;3;0;0;10;6;9;no;13;1;1;1;4;5;2;1
1st (63);02:54;13;-1;4;20;10;0;9;8;4;0;0;17;8;4;no;8;2;0;1;3;5;2;1
2nd (60);03:02;13;-2;5;0;24;0;0;20;2;0;2;4;19;6;no;13;5;0;3;3;1;4;0
3rd (55);01:55;9;-2;3;3;0;38;4;0;1;0;5;6;6;4;no;9;0;8;0;2;2;3;2
4th (46);03:28;0;-6;1;3;22;5;5;16;3;0;1;10;4;0;no;14;4;3;2;0;3;5;1
1st (57);05:02;8;-4;2;3;10;38;0;0;3;1;3;11;14;5;no;14;2;7;1;2;1;2;2
2nd (56);03:01;14;-2;6;5;25;0;3;5;3;0;1;4;15;9;no;10;5;0;0;4;3;3;0
3rd (51);03:02;13;-1;8;3;5;0;9;14;2;1;1;6;10;7;no;9;1;0;2;4;5;3;2
4th (44);04:55;1;-5;2;10;12;13;4;7;3;2;2;20;2;1;no;12;2;4;1;1;1;4;0
1st (56);06:32;10;-1;1;5;24;0;0;17;3;0;0;19;12;7;no;10;4;0;2;4;3;2;0
2nd (49);05:10;8;-3;10;10;12;0;9;3;3;1;2;10;8;5;no;12;3;0;1;2;6;2;0
3rd (49);04:08;13;-1;4;7;13;4;0;9;3;1;3;8;10;10;no;13;3;2;1;4;1;3;0
4th (45);06:37;1;-5;8;3;5;18;9;6;3;3;1;12;19;1;no;9;1;3;2;1;2;3;3
1st (67);03:14;18;0;4;5;20;0;0;20;3;1;1;8;8;4;no;10;4;0;2;3;2;3;0
2nd (57);03:29;0;-6;2;3;0;43;0;15;3;1;4;4;8;0;no;14;0;9;2;0;1;3;2
3rd (50);03:21;18;0;6;3;0;16;3;4;3;3;3;10;8;6;no;9;0;2;2;3;4;2;1
4th (49);03:23;0;-6;7;10;30;0;8;0;3;0;1;12;10;0;no;12;6;0;0;0;3;5;1
1st (60);02:27;9;-3;5;20;25;0;4;0;4;0;1;10;23;4;no;8;5;0;0;2;3;4;0
2nd (57);03:24;15;-1;3;3;19;0;4;14;2;0;0;14;8;10;no;14;4;0;2;5;4;2;1
3rd (50);03:27;12;-2;2;3;9;9;0;17;1;1;3;10;6;6;no;11;2;3;3;3;1;3;1
4th (47);03:16;0;-6;7;10;8;25;3;0;3;1;2;15;12;3;no;12;2;4;1;1;2;3;1
1st (68);03:12;5;-4;6;3;17;34;0;7;3;0;4;12;24;3;no;9;3;6;1;1;3;3;1
2nd (55);02:58;17;-1;4;7;10;0;3;15;3;2;0;14;11;10;no;13;2;0;2;5;1;3;0
3rd (52);02:22;3;-4;4;20;5;0;11;13;4;0;1;16;12;2;no;8;1;0;2;1;5;4;1
4th (44);03:46;10;-2;1;5;15;0;2;13;3;2;2;11;6;6;no;10;4;0;1;4;2;2;0
1st (52);04:14;0;-6;6;3;6;26;8;9;3;1;2;12;17;0;no;9;1;5;1;0;2;5;2
2nd (51);03:19;9;-2;9;7;18;0;2;8;3;2;0;9;16;4;no;13;3;0;1;3;4;2;0
3rd (51);02:28;9;-3;0;5;28;0;0;12;3;1;2;14;6;3;no;10;6;0;1;2;2;2;1
4th (38);02:41;17;0;5;3;4;0;4;5;1;4;2;10;6;9;no;11;1;0;1;4;4;3;0
1st (62);02:16;10;-2;8;3;24;1;9;9;2;0;3;8;12;2;no;9;5;1;1;2;6;3;0
2nd (57);03:04;8;-3;6;20;13;0;4;9;4;1;1;16;22;6;no;8;2;0;1;3;3;2;2
3rd (57);02:20;0;-6;0;5;3;55;0;0;2;1;4;12;0;0;no;12;1;9;1;0;1;2;1
4th (54);02:20;17;0;7;3;12;0;7;8;2;1;0;14;16;8;yes;3;2;0;1;4;3;3;2
1st (70);01:52;18;0;5;10;17;1;0;19;3;0;1;16;14;7;no;12;3;1;2;4;3;2;0
2nd (57);02:41;0;-6;10;3;4;43;3;0;3;3;6;14;20;0;no;14;1;9;0;0;2;2;1
3rd (57);02:05;14;0;3;7;2;10;5;16;2;0;1;12;8;5;no;11;1;3;2;2;2;5;1
4th (50);02:25;0;-4;1;7;33;0;0;13;3;1;2;8;8;3;no;13;7;0;2;2;1;2;0
1st (62);03:42;10;-1;1;3;24;0;5;20;1;0;2;12;1;4;no;11;5;0;2;2;3;5;0
2nd (59);03:12;15;-1;3;20;13;0;0;9;4;0;0;12;14;8;no;8;2;0;1;4;2;5;0
3rd (55);05:10;0;-6;7;5;0;31;3;15;3;0;3;5;8;0;no;10;0;7;1;0;3;1;3
4th (51);05:03;8;-3;5;0;14;10;7;10;2;0;3;10;16;7;no;13;3;3;1;3;3;1;2
1st (56);03:31;17;-1;4;10;13;0;4;9;3;2;2;9;11;8;yes;4;2;0;1;3;4;2;1
2nd (52);03:35;5;-3;4;10;15;4;3;14;3;1;0;16;16;2;yes;2;3;1;2;2;1;4;1
3rd (40);03:34;11;-3;6;15;5;0;4;2;3;0;1;9;14;10;yes;1;2;0;1;4;3;4;1
4th (40);03:13;3;-5;1;7;28;0;2;4;3;1;1;9;2;2;no;13;6;0;1;1;4;2;0
1st (66);03:50;5;-5;3;3;10;50;0;0;2;0;6;9;8;3;no;14;2;10;0;1;3;1;1
2nd (58);03:09;12;-1;1;13;18;0;7;8;3;0;1;14;2;5;no;8;3;0;1;3;4;4;0
3rd (54);03:31;5;-3;4;2;17;0;5;24;1;0;1;10;9;2;no;12;4;0;3;2;3;5;0
4th (47);06:21;13;-2;4;3;8;9;0;12;3;0;1;2;16;9;no;9;2;2;2;4;1;3;3
1st (57);02:16;3;-4;6;13;9;0;6;24;3;0;0;4;15;4;no;8;2;0;3;2;2;3;3
2nd (56);05:42;8;-3;1;3;14;26;0;7;3;0;7;4;2;6;no;14;3;7;1;3;1;2;1
3rd (54);03:27;7;-3;1;3;13;25;8;0;3;0;2;14;0;5;no;9;2;4;0;3;5;3;0
4th (48);02:54;14;0;4;7;15;0;0;8;2;0;3;3;8;11;no;11;3;0;1;4;2;5;1
1st (74);03:55;18;0;6;7;17;0;8;18;2;0;1;8;6;4;no;11;4;0;2;2;4;4;0
2nd (55);04:04;17;0;4;10;11;0;5;8;3;1;1;8;4;5;yes;3;2;0;1;3;5;2;1
3rd (48);04:50;0;-6;6;3;3;18;6;18;3;2;1;6;14;0;no;9;1;3;3;0;1;4;3
4th (48);03:26;0;-5;0;0;22;31;0;0;2;0;4;4;2;1;no;13;4;7;0;1;0;3;1
1st (59);04:39;13;-1;2;20;5;1;4;15;4;0;0;15;6;6;no;8;1;1;2;3;3;3;1
2nd (54);04:35;0;-6;4;7;8;38;3;0;3;0;4;6;9;0;no;13;2;8;0;0;2;3;0
3rd (44);04:25;13;0;4;5;15;0;0;7;3;2;1;8;12;8;no;10;3;0;1;4;1;3;1
4th (44);04:42;5;-4;3;3;30;1;6;0;2;0;2;12;14;8;no;9;6;1;0;3;1;4;3
