Place;Thinking time;VP from Military Conflicts (Victory);VP from Military Conflicts (Defeat);VP from Treasury Contents;VP from Wonder; VP from Civilian Structures;VP from Scientific Structures;VP from Commercial Structures;VP from Guilds;Constructed stages of the Wonder;Cards discarded;Chained constructions;Coins spent on commerce;Coins gained through commerce;Shields;Wonder side A;Wonder ID;Civilian Structures;Scientific Structures;Guilds;Military Structures;Commercial Structures;Raw Materials;Manufactured Goods
4th (53);02:33;0;-4;13;13;3;0;13;15;3;0;1;10;16;3;no;8;1;0;2;1;8;2;1
5th (42);03:42;14;-2;5;3;16;1;5;0;2;2;2;6;10;11;no;14;3;1;0;5;1;5;1
1st (66);02:35;16;0;6;7;26;0;3;8;3;0;1;4;11;9;no;13;6;0;1;4;2;2;0
2nd (63);03:15;0;-4;1;2;16;48;0;0;1;0;5;14;7;1;no;12;3;9;0;1;1;2;1
3rd (58);01:47;12;0;8;5;7;0;0;26;3;0;0;9;19;8;no;10;1;0;2;4;3;4;1
4th (49);04:30;1;-4;3;20;25;0;4;0;4;0;2;10;2;4;no;8;6;0;0;2;4;2;0
5th (46);04:17;8;-3;2;3;3;13;3;17;3;1;2;9;7;8;no;14;1;3;3;3;2;3;2
1st (73);03:19;18;0;2;7;25;0;0;21;2;1;1;14;3;6;no;11;5;0;2;3;2;3;0
2nd (58);03:02;16;0;6;20;6;0;0;10;4;2;0;8;13;7;no;8;1;0;1;4;2;4;0
3rd (56);03:30;0;-6;6;3;9;31;7;6;3;0;4;2;7;0;no;14;2;7;1;0;2;4;2
4th (52);03:58;0;-5;8;5;26;0;9;9;3;1;1;8;7;1;no;10;5;0;0;1;3;2;3
5th (52);04:03;9;-2;5;7;4;10;4;15;3;1;1;6;8;3;no;13;1;3;2;2;4;1;1
1st (52);03:03;9;-2;0;20;8;0;4;13;4;0;1;10;6;5;no;8;2;0;2;3;2;4;1
2nd (50);05:26;8;-2;6;10;25;0;3;0;3;2;1;9;10;5;yes;3;4;0;0;2;4;3;0
3rd (50);04:21;7;-2;5;10;15;1;0;14;3;1;0;14;14;5;no;12;3;1;2;3;2;2;1
4th (48);04:10;0;-5;3;7;17;13;3;10;3;1;1;8;7;0;no;13;5;4;1;0;1;2;1
5th (40);04:26;14;-1;9;3;12;0;3;0;2;3;0;8;12;10;no;9;2;0;0;5;3;4;1
1st (57);02:58;4;-3;0;3;8;43;2;0;2;1;5;9;4;1;no;14;1;9;0;1;3;3;0
2nd (51);03:19;17;0;8;5;11;0;3;7;3;0;2;10;15;11;no;10;2;0;0;5;4;3;1
3rd (48);03:43;10;-3;7;10;15;2;0;7;3;0;1;6;15;6;no;12;3;2;1;2;2;3;2
4th (47);04:20;8;-2;5;7;11;0;3;15;3;3;1;8;10;6;no;13;3;0;2;3;1;3;0
5th (43);03:28;3;-4;1;3;25;0;3;12;1;2;3;15;4;4;no;9;6;0;2;2;3;2;0
1st (72);03:23;18;0;5;10;14;5;3;17;3;0;2;22;16;6;no;12;2;3;2;3;2;2;1
2nd (65);04:16;18;0;6;3;19;0;4;15;2;1;1;6;16;9;no;14;4;0;2;5;2;4;0
3rd (53);03:26;0;-6;5;3;0;43;8;0;2;1;5;18;10;0;no;9;0;9;0;0;4;2;2
4th (51);03:58;9;-3;2;5;25;0;0;13;3;1;1;7;6;6;no;10;5;0;1;3;2;3;0
5th (49);02:35;0;-6;6;20;14;0;8;7;4;0;0;12;17;2;no;8;3;0;1;1;4;4;1
1st (60);04:09;12;-1;2;20;16;0;4;7;4;0;2;17;8;6;no;8;3;0;1;3;4;2;1
2nd (56);02:49;9;-2;7;7;26;0;2;7;3;0;1;2;19;6;no;13;5;0;1;3;2;3;1
3rd (50);02:38;0;-6;4;3;4;38;7;0;3;2;6;9;2;0;no;9;1;7;0;0;4;2;2
4th (47);02:59;5;-2;12;7;14;0;5;6;2;0;0;11;23;8;no;11;3;0;1;2;4;5;1
5th (42);04:07;11;0;3;10;13;0;0;5;3;3;0;22;9;8;no;12;3;0;1;4;0;3;1
1st (61);03:41;16;-1;5;10;11;1;4;15;3;0;1;4;16;7;yes;4;2;1;2;2;2;4;2
2nd (58);03:18;18;0;0;5;20;4;2;9;2;0;3;17;5;7;no;10;3;2;1;4;2;2;2
3rd (52);03:43;9;-3;12;15;0;0;10;9;3;1;1;10;17;6;yes;1;0;0;1;3;7;2;1
4th (47);03:28;0;-5;2;10;26;5;3;6;3;0;3;18;8;0;no;12;6;3;1;0;1;3;1
5th (40);04:17;1;-5;1;3;14;26;0;0;2;0;3;5;8;4;no;14;4;5;1;2;2;4;0
1st (68);06:51;18;0;8;10;27;1;4;0;3;0;1;16;24;6;no;12;5;1;0;3;1;3;2
2nd (63);03:56;18;0;7;7;8;0;7;16;2;1;1;14;6;7;no;11;2;0;2;3;5;1;2
3rd (63);05:46;0;-6;1;3;8;55;2;0;2;2;6;17;0;0;no;14;1;9;1;0;3;1;1
4th (45);05:09;9;-3;6;0;14;0;4;15;2;2;1;2;10;6;no;13;3;0;2;3;2;4;0
5th (40);03:59;0;-6;7;3;9;9;3;15;3;1;2;17;26;5;no;9;3;2;2;2;3;3;1
1st (68);03:26;18;0;2;10;12;0;0;26;3;0;0;16;10;8;no;12;3;0;3;5;1;3;0
2nd (57);03:13;18;0;3;7;21;0;2;6;2;1;0;11;4;8;no;11;4;0;1;3;2;4;1
3rd (56);03:04;8;-3;11;3;8;13;9;7;3;1;1;6;20;5;no;9;1;3;1;2;3;3;3
4th (54);03:54;0;-5;1;3;13;38;4;0;2;0;3;8;4;0;no;14;2;8;0;0;3;4;1
5th (41);02:57;0;-6;6;5;18;0;3;15;3;0;1;8;11;6;no;10;4;0;1;3;3;3;1
1st (63);02:57;18;0;2;7;23;0;0;13;2;0;1;8;6;8;no;11;5;0;2;3;1;4;1
2nd (62);03:10;17;0;0;20;2;0;4;19;4;0;2;8;5;8;no;8;1;0;2;4;3;4;0
3rd (50);02:50;8;-4;2;2;6;36;0;0;1;0;3;12;8;5;no;14;1;8;0;2;2;4;1
4th (47);04:01;0;-6;7;10;29;0;0;7;3;0;2;3;12;2;no;12;6;0;1;1;1;4;2
5th (42);03:21;1;-4;2;7;15;21;0;0;3;1;6;8;8;4;no;13;3;6;0;2;1;2;0
1st (62);03:01;12;-1;6;5;21;0;7;12;3;0;0;16;17;5;no;10;4;0;1;3;4;2;1
2nd (60);03:45;18;0;2;7;14;0;0;19;3;3;1;4;1;5;no;13;3;0;2;3;1;3;0
3rd (58);02:36;14;-1;3;20;7;0;4;11;4;0;0;24;7;6;no;8;1;0;2;3;4;3;1
4th (51);03:29;0;-6;9;10;6;16;9;7;3;0;3;2;14;0;yes;2;1;3;1;0;4;3;3
5th (48);03:05;0;-6;3;3;5;36;0;7;2;1;3;4;11;0;no;14;1;8;1;0;2;4;1
1st (67);03:58;18;0;6;7;26;0;4;6;3;0;0;6;18;7;no;13;4;0;1;4;1;4;1
2nd (63);02:40;17;-1;6;3;21;0;8;9;3;0;1;11;19;8;no;14;5;0;1;4;4;2;2
3rd (60);02:42;0;-6;0;3;5;55;3;0;3;0;5;21;2;0;no;9;1;9;0;0;4;2;1
4th (58);02:51;10;-2;6;20;6;0;9;9;4;1;0;16;17;6;no;8;1;0;1;4;2;5;0
5th (49);03:09;0;-6;5;10;14;1;0;25;3;1;2;12;10;0;no;12;4;0;4;0;2;2;2
1st (65);02:07;8;-1;11;7;24;0;8;8;3;0;0;0;20;3;no;13;5;0;1;2;2;5;0
2nd (55);04:01;18;0;4;3;6;21;3;0;3;1;4;6;9;7;no;14;2;6;0;4;2;2;1
3rd (50);02:42;0;-5;3;3;6;16;6;21;3;0;3;20;6;3;no;9;1;3;3;1;4;2;3
4th (47);02:59;10;-2;1;20;12;0;6;0;4;1;2;10;3;5;no;8;4;0;0;2;2;4;1
5th (44);05:47;0;-4;4;10;21;13;0;0;3;0;3;6;4;2;no;12;3;3;1;1;4;3;0
1st (63);05:19;3;-4;3;10;16;13;3;19;3;0;3;17;6;2;no;12;3;4;2;1;4;1;0
2nd (58);03:38;16;-1;1;7;21;0;0;14;2;0;0;10;3;10;no;11;5;0;2;4;1;4;0
3rd (55);03:00;5;-4;5;3;3;43;0;0;3;1;5;12;18;3;no;14;1;9;0;1;1;3;2
4th (53);03:04;10;-2;2;5;22;0;3;13;3;0;0;4;8;5;no;10;4;0;1;3;2;3;2
5th (47);04:26;9;-2;6;7;11;13;3;0;3;0;1;4;12;8;no;13;2;4;0;4;2;3;0
1st (57);02:08;11;-1;7;7;10;0;6;17;2;2;0;8;10;5;no;11;2;0;2;2;1;6;1
2nd (56);03:12;13;-1;3;3;14;10;5;9;3;0;3;14;7;9;no;14;2;3;1;4;5;3;0
3rd (52);02:24;5;-3;5;10;25;0;0;10;3;0;1;12;8;6;no;12;5;0;1;3;3;2;1
4th (52);02:44;11;-1;4;13;14;0;3;8;3;0;0;7;14;8;no;8;3;0;1;4;3;4;0
5th (49);02:09;0;-4;6;3;7;37;0;0;3;2;2;10;12;1;no;9;2;5;1;1;1;2;3
1st (64);02:16;12;-1;5;7;13;0;0;28;2;0;0;12;19;8;no;11;2;0;4;3;1;3;3
2nd (64);04:09;1;-4;4;3;10;47;3;0;3;2;5;16;16;1;no;14;2;8;1;1;2;2;0
3rd (52);02:52;8;-4;5;5;17;0;8;13;3;0;0;16;6;7;no;10;4;0;1;3;5;2;0
4th (52);03:54;8;-3;2;3;3;26;7;6;3;0;0;16;12;3;no;9;1;5;1;2;3;3;2
4th (52);03:25;14;-1;2;20;17;0;0;0;4;0;0;9;16;13;no;8;3;0;0;6;2;3;0
1st (67);05:05;18;0;3;7;10;13;0;16;2;0;3;8;10;6;no;11;2;4;2;2;3;3;0
2nd (57);02:54;16;-1;5;7;18;0;7;5;3;0;1;8;9;8;no;13;4;0;1;4;2;4;0
3rd (48);05:09;0;-5;9;10;17;0;4;13;3;1;0;6;6;1;no;12;3;0;2;1;3;3;2
4th (45);05:26;0;-6;8;15;16;0;6;6;3;1;0;8;11;0;yes;1;4;0;1;0;4;3;2
5th (35);04:27;10;-2;5;5;14;0;3;0;2;4;0;14;8;7;no;10;3;0;0;4;3;1;1
1st (74);02:59;11;-2;2;5;10;48;0;0;2;0;6;7;4;2;no;12;2;8;1;1;2;1;1
2nd (58);02:37;5;-4;5;13;20;0;3;16;3;0;1;14;15;3;no;8;4;0;2;1;3;5;0
3rd (51);04:03;17;0;9;7;2;0;8;8;2;0;0;4;10;11;no;11;1;0;1;4;4;4;2
4th (40);02:34;9;-2;9;3;15;1;5;0;2;0;1;12;16;8;yes;6;3;1;0;4;3;3;2
5th (40);03:01;1;-5;1;5;29;0;3;6;2;2;4;8;0;1;no;10;6;0;1;1;3;1;2
1st (64);02:44;18;0;5;7;13;0;2;19;2;2;2;10;4;5;no;11;3;0;2;2;4;3;0
2nd (61);02:32;17;0;3;15;6;0;3;17;3;0;1;8;12;8;yes;1;1;0;2;5;3;3;1
3rd (57);03:02;0;-6;3;3;19;38;0;0;3;0;4;6;10;0;no;14;4;7;1;0;1;3;2
4th (55);02:53;9;-2;1;3;13;16;6;9;3;0;2;20;10;4;no;9;3;3;1;3;2;1;3
5th (46);04:35;0;-6;9;7;26;0;6;4;3;2;1;8;16;0;no;13;6;0;1;0;2;3;1
1st (64);03:15;0;-6;0;3;12;55;0;0;3;3;7;10;0;0;no;14;3;9;1;0;0;2;0
2nd (57);02:39;18;0;7;3;0;1;10;18;3;2;0;8;8;6;no;9;0;0;2;3;3;4;3
3rd (55);04:25;9;-2;3;7;29;0;3;6;3;1;1;14;12;4;no;13;6;0;1;3;2;2;0
4th (54);03:08;17;0;4;7;6;1;4;15;2;0;2;17;14;10;no;11;1;1;2;4;4;4;0
5th (51);03:21;0;-6;16;10;25;0;6;0;3;0;2;2;17;3;no;12;5;0;0;1;4;3;2
1st (64);03:08;16;-2;8;10;22;0;3;7;3;0;2;18;13;9;no;12;4;0;1;4;2;4;0
2nd (55);02:31;12;-2;5;0;8;28;4;0;0;1;5;2;10;6;no;14;1;7;0;3;1;3;2
3rd (52);05:01;10;-2;11;7;15;0;2;9;2;1;1;8;20;8;no;11;3;0;1;3;4;2;2
4th (44);02:54;7;-3;2;5;16;0;3;14;2;0;2;10;4;8;no;10;4;0;2;4;3;1;2
5th (43);03:42;0;-6;1;20;10;0;5;13;4;1;0;9;0;0;no;8;3;0;2;0;3;5;0
1st (79);02:36;18;0;5;7;21;0;0;28;3;0;1;4;10;4;no;13;4;0;3;3;1;4;0
2nd (62);03:25;0;-5;1;3;8;55;0;0;3;0;5;4;6;0;no;9;2;9;0;0;0;2;3
3rd (58);04:54;18;0;5;5;22;0;3;5;3;2;0;15;9;7;no;10;4;0;0;4;3;1;1
4th (55);03:33;0;-6;11;20;0;0;15;15;4;0;2;9;14;0;no;8;0;0;2;0;6;5;1
5th (47);03:50;8;-3;4;10;18;1;0;9;3;2;4;12;5;5;no;12;5;1;1;2;3;1;0
1st (59);03:20;0;-6;8;10;9;0;6;32;3;0;1;9;16;0;no;12;2;0;4;0;3;6;0
2nd (59);04:52;10;-2;5;3;7;26;3;7;3;1;1;17;6;2;no;14;1;6;1;2;4;2;1
3rd (53);02:49;14;-1;6;7;22;0;5;0;2;0;1;20;11;13;no;11;5;0;0;5;5;1;0
4th (44);03:50;10;-2;3;0;9;21;3;0;1;1;5;8;7;5;no;13;2;6;0;3;2;2;1
5th (35);04:27;8;-3;6;3;21;0;0;0;1;1;2;6;20;12;yes;3;4;0;0;5;1;3;3
1st (60);02:48;3;-5;1;3;5;48;0;5;3;0;5;16;12;2;no;9;1;8;1;1;2;2;2
2nd (53);02:47;11;-2;6;7;10;1;3;17;3;1;1;12;12;7;no;13;2;1;2;3;3;2;1
3rd (52);03:54;13;0;7;3;12;0;4;13;1;1;1;10;14;9;no;11;2;0;2;4;4;4;0
4th (49);02:29;5;-2;6;10;26;0;4;0;3;0;3;16;10;9;no;12;5;0;0;4;4;1;1
5th (46);03:39;3;-2;5;3;18;10;2;7;2;1;2;8;14;6;no;14;4;3;1;3;1;4;1
1st (60);02:50;13;-1;1;7;25;0;2;13;3;0;0;12;9;4;no;13;5;0;2;3;3;2;0
2nd (57);02:56;16;-2;6;10;18;0;3;6;3;0;1;14;18;10;yes;3;3;0;1;4;2;3;2
3rd (56);03:28;10;-2;7;10;14;0;10;7;3;0;2;18;9;4;no;12;4;0;1;2;5;2;1
4th (56);05:09;6;-4;3;3;0;48;0;0;3;1;6;6;12;6;no;14;0;9;0;3;0;3;2
5th (54);03:15;0;-6;4;3;6;38;0;9;3;1;2;10;12;0;no;9;1;6;2;0;3;4;1
1st (60);02:48;0;-4;1;3;2;48;0;10;3;0;6;18;4;3;no;9;1;8;1;1;3;1;1
2nd (55);03:06;11;-1;7;10;14;0;8;6;3;0;0;6;12;7;yes;4;3;0;1;3;3;5;0
3rd (55);03:27;4;-3;3;2;30;0;4;15;1;1;1;16;1;3;no;14;6;0;2;2;3;4;0
4th (48);02:09;10;-1;9;5;12;0;9;4;3;1;0;5;14;7;no;10;2;0;0;4;3;2;3
5th (46);02:30;10;-2;5;15;11;0;0;7;3;1;0;4;18;6;yes;1;3;0;1;2;2;4;2
1st (65);02:22;17;-1;4;7;19;0;0;19;2;0;0;16;10;8;no;11;4;0;2;3;3;3;1
2nd (63);04:17;0;-6;2;2;10;55;0;0;1;2;7;6;6;0;no;14;2;9;1;0;0;2;2
3rd (55);03:26;16;-1;6;10;17;0;7;0;3;0;0;12;6;8;no;12;3;0;0;4;4;4;0
4th (49);03:12;2;-4;9;20;3;0;5;14;4;1;2;6;14;2;no;8;1;0;2;2;5;2;1
5th (47);05:35;9;-2;3;7;17;13;0;0;3;0;1;8;12;6;no;13;3;4;0;3;1;3;1
1st (67);03:40;0;-6;5;3;7;48;0;10;3;1;4;5;15;0;no;14;2;8;2;0;1;2;2
2nd (63);04:15;17;0;8;5;17;0;7;9;3;0;1;4;18;8;no;10;4;0;0;4;4;3;0
3rd (56);04:51;9;-2;2;20;5;0;4;18;4;0;1;26;6;6;no;8;1;0;3;3;4;3;0
4th (54);03:44;16;0;9;7;12;0;4;6;2;1;1;9;20;10;no;11;2;0;1;4;3;4;1
5th (43);04:55;0;-4;2;10;29;0;0;6;3;1;1;21;6;4;no;12;5;0;1;2;2;2;2
1st (63);02:09;0;-4;2;10;0;55;0;0;3;0;5;8;2;0;no;12;0;9;1;0;2;3;0
2nd (58);03:02;9;-3;9;7;21;0;6;9;3;0;1;4;9;1;no;13;5;0;2;1;4;3;0
3rd (51);02:11;5;-3;5;3;16;13;6;6;2;1;3;6;7;3;no;9;3;4;1;1;2;3;3
4th (50);02:40;14;-2;5;10;20;0;3;0;3;0;1;4;12;11;yes;3;4;0;0;5;2;3;1
5th (37);03:46;13;-1;2;8;5;0;2;8;2;2;1;14;6;9;no;8;1;0;1;5;2;3;2
1st (59);02:35;0;-6;6;3;19;31;6;0;3;0;3;2;13;0;no;9;3;6;0;0;2;3;3
2nd (51);04:56;11;-1;4;3;0;16;11;7;3;0;5;18;5;8;no;14;0;5;1;4;5;3;0
3rd (50);03:20;9;-2;2;20;8;0;5;8;4;2;1;8;5;4;no;8;2;0;1;2;1;5;1
4th (47);05:34;9;-2;3;5;19;0;2;11;2;2;1;12;8;6;no;10;4;0;2;3;2;3;0
5th (44);05:02;13;-1;3;7;13;1;0;8;3;0;0;5;14;9;no;13;3;1;1;4;3;2;1
1st (60);05:34;3;-3;2;5;6;47;0;0;2;0;4;14;10;2;no;12;2;8;1;1;3;1;0
2nd (54);03:18;11;-3;5;20;17;0;4;0;4;0;0;12;16;7;no;8;4;0;0;3;2;4;1
3rd (52);02:56;10;-2;6;7;14;0;0;17;3;1;2;4;18;8;no;13;4;0;3;3;1;3;0
4th (43);04:22;8;-2;2;5;11;0;0;19;2;2;0;10;10;6;no;10;2;0;3;4;1;3;1
5th (39);04:02;9;-3;1;3;29;0;0;0;1;3;0;16;2;7;no;11;5;0;0;3;1;3;2
1st (53);03:01;8;-3;7;10;22;0;3;6;3;0;1;16;10;6;no;12;5;0;1;3;3;2;1
2nd (52);02:49;9;-2;1;3;13;26;2;0;2;1;5;20;11;4;no;9;3;6;0;2;2;2;1
3rd (50);04:11;0;-6;7;20;5;9;8;7;4;0;3;5;18;0;no;8;1;2;2;0;4;4;1
4th (50);03:55;9;-3;6;3;27;0;2;6;2;0;1;6;6;6;no;14;6;0;1;3;3;4;1
5th (49);02:26;18;0;5;7;8;0;5;6;2;1;0;8;10;12;no;11;2;0;1;5;2;5;0
1st (67);04:25;16;0;6;10;17;0;3;15;3;0;0;16;13;5;no;12;3;0;2;3;3;3;1
2nd (64);04:16;18;0;4;7;20;0;3;12;3;1;1;8;8;7;no;13;5;0;1;4;2;2;0
3rd (51);04:01;1;-4;9;5;25;0;8;7;2;0;1;6;21;4;no;10;5;0;1;2;2;3;3
4th (50);04:37;0;-5;2;3;10;25;8;7;3;0;4;13;6;1;no;9;2;4;1;1;5;3;0
5th (50);04:25;8;-4;0;3;0;43;0;0;2;1;4;7;2;5;no;14;0;8;1;2;2;3;1
1st (63);05:38;17;-1;8;7;17;0;0;15;2;1;1;6;16;8;no;11;3;0;2;3;2;3;2
2nd (60);04:16;10;-2;2;20;22;0;0;8;4;1;2;6;10;2;no;8;4;0;1;2;3;3;0
3rd (59);03:24;18;0;6;5;14;0;8;8;3;2;1;11;10;4;no;10;3;0;1;3;3;2;1
4th (53);05:12;0;-6;1;3;7;48;0;0;2;2;2;14;5;0;no;14;2;8;1;0;1;2;2
5th (41);05:13;0;-6;9;10;6;13;3;6;3;1;2;14;10;0;no;12;1;5;1;0;4;3;0
1st (58);03:25;8;-1;4;20;9;0;4;14;4;1;1;16;7;5;no;8;2;0;2;2;2;4;1
2nd (57);03:10;1;-5;6;3;14;25;6;7;3;0;4;2;16;1;no;9;3;5;1;1;1;3;3
3rd (53);04:21;13;-1;1;3;14;0;2;21;2;1;1;12;6;4;yes;3;3;0;3;3;3;2;1
4th (50);03:24;14;-2;0;7;25;0;0;6;3;2;0;16;7;9;no;13;5;0;1;4;2;1;0
5th (46);03:25;0;-3;7;3;0;36;3;0;3;1;5;8;18;5;no;14;0;8;0;2;3;3;1
1st (59);03:37;0;-2;8;5;20;0;7;21;3;0;1;8;21;3;no;10;4;0;2;2;3;4;0
2nd (56);03:24;3;-1;3;3;17;31;0;0;3;0;6;8;16;3;no;14;5;7;0;2;0;2;2
3rd (54);02:35;17;0;3;10;19;0;0;5;3;1;0;17;6;8;no;12;3;0;1;4;2;2;2
4th (54);02:31;14;-1;1;20;17;0;3;0;4;1;0;14;6;7;no;8;4;0;0;3;3;3;0
5th (45);03:11;0;-6;9;3;0;31;8;0;3;3;2;8;6;0;no;9;0;5;1;0;5;3;0
1st (69);04:42;18;0;1;7;5;10;2;26;3;0;1;8;9;8;no;13;1;3;3;4;2;2;0
2nd (61);05:39;18;0;4;5;8;0;3;23;3;0;0;13;5;9;no;10;2;0;2;5;5;1;0
3rd (55);03:47;9;-3;6;5;16;16;0;6;2;0;2;11;14;3;no;12;3;3;2;2;2;3;1
4th (51);04:41;0;-6;2;2;10;43;0;0;1;1;4;13;10;0;no;14;2;9;0;0;2;4;0
5th (46);03:08;0;-6;7;7;33;0;5;0;2;1;2;4;11;2;no;11;7;0;0;0;1;5;2
1st (67);04:19;12;-2;13;5;14;0;9;16;3;0;0;9;18;7;no;10;3;0;1;3;3;2;3
2nd (58);02:50;5;-3;1;2;10;43;0;0;1;1;8;8;4;4;no;12;2;9;0;3;0;2;0
3rd (55);03:26;17;-1;5;7;12;0;0;15;3;0;1;4;10;8;no;13;2;0;2;4;2;4;1
4th (52);03:50;8;-4;0;20;19;0;0;9;4;1;3;16;7;5;no;8;5;0;1;2;2;2;1
5th (42);03:36;3;-5;3;3;5;13;4;16;3;2;1;10;8;5;no;9;1;3;2;2;1;4;3
1st (65);02:03;5;-4;3;2;3;48;0;8;1;0;5;10;10;3;no;12;1;9;1;1;2;2;1
2nd (58);02:11;11;-2;4;7;24;0;5;9;3;0;0;8;15;6;no;13;5;0;1;3;1;5;0
3rd (51);02:32;5;-4;6;7;18;0;4;15;2;0;2;4;10;8;no;11;4;0;2;2;3;4;1
4th (48);03:40;5;-2;3;3;5;25;3;6;3;1;3;10;6;2;no;9;1;3;2;2;3;3;2
5th (47);01:55;15;-1;2;5;17;0;0;9;2;1;0;13;4;11;no;10;3;0;1;5;2;2;2
1st (55);02:31;8;-1;9;5;6;0;6;22;3;1;0;2;18;5;no;10;1;0;2;2;2;4;3
2nd (53);04:33;0;-5;5;3;5;38;7;0;3;1;4;13;6;0;no;9;1;6;1;0;4;3;2
3rd (48);03:24;1;-2;0;7;23;1;0;18;3;0;1;7;0;5;no;13;5;1;2;3;2;2;0
4th (42);04:12;17;-1;2;3;6;1;7;7;2;1;2;12;10;11;no;14;2;1;1;5;3;5;0
5th (41);03:11;9;-2;0;8;18;1;0;7;2;0;0;8;8;10;yes;1;3;1;1;5;1;3;2
1st (70);03:06;18;0;7;20;0;0;9;16;4;0;0;4;16;6;no;8;0;0;2;4;2;5;1
